"Week";"Barrels";"year";"week"
1991 W06;6,621;1991;5
1991 W07;6,433;1991;6
1991 W08;6,582;1991;7
1991 W09;7,224;1991;8
1991 W10;6,875;1991;9
1991 W11;6,947;1991;10
1991 W12;7,328;1991;11
1991 W13;6,777;1991;12
1991 W14;7,503;1991;13
1991 W15;6,916;1991;14
1991 W16;7,045;1991;15
1991 W17;6,956;1991;16
1991 W18;6,976;1991;17
1991 W19;7,185;1991;18
1991 W20;6,899;1991;19
1991 W21;7,396;1991;20
1991 W22;7,287;1991;21
1991 W23;7,22;1991;22
1991 W24;7,651;1991;23
1991 W25;7,72;1991;24
1991 W26;7,543;1991;25
1991 W27;7,961;1991;26
1991 W28;7,327;1991;27
1991 W29;7,38;1991;28
1991 W30;7,501;1991;29
1991 W31;7,605;1991;30
1991 W32;7,584;1991;31
1991 W33;7,401;1991;32
1991 W34;7,505;1991;33
1991 W35;7,427;1991;34
1991 W36;6,993;1991;35
1991 W37;7,402;1991;36
1991 W38;7,391;1991;37
1991 W39;7,088;1991;38
1991 W40;6,949;1991;39
1991 W41;7,506;1991;40
1991 W42;7,396;1991;41
1991 W43;7,421;1991;42
1991 W44;7,159;1991;43
1991 W45;7,379;1991;44
1991 W46;7,369;1991;45
1991 W47;6,652;1991;46
1991 W48;6,769;1991;47
1991 W49;6,828;1991;48
1991 W50;7,344;1991;49
1991 W51;7,447;1991;50
1991 W52;7,186;1991;51
1992 W01;6,642;1992;52
1992 W02;6,788;1992;1
1992 W03;6,783;1992;2
1992 W04;7,037;1992;3
1992 W05;7,112;1992;4
1992 W06;7,039;1992;5
1992 W07;6,576;1992;6
1992 W08;7,002;1992;7
1992 W09;6,77;1992;8
1992 W10;7,002;1992;9
1992 W11;6,806;1992;10
1992 W12;7,221;1992;11
1992 W13;7,379;1992;12
1992 W14;7,027;1992;13
1992 W15;7,744;1992;14
1992 W16;6,464;1992;15
1992 W17;7,376;1992;16
1992 W18;7,899;1992;17
1992 W19;7,318;1992;18
1992 W20;7,174;1992;19
1992 W21;7,086;1992;20
1992 W22;7,774;1992;21
1992 W23;7,104;1992;22
1992 W24;7,129;1992;23
1992 W25;7,407;1992;24
1992 W26;7,701;1992;25
1992 W27;7,572;1992;26
1992 W28;7,813;1992;27
1992 W29;7,422;1992;28
1992 W30;7,792;1992;29
1992 W31;7,433;1992;30
1992 W32;7,796;1992;31
1992 W33;7,7;1992;32
1992 W34;7,365;1992;33
1992 W35;7,814;1992;34
1992 W36;7,326;1992;35
1992 W37;7,473;1992;36
1992 W38;7,181;1992;37
1992 W39;7,286;1992;38
1992 W40;7,293;1992;39
1992 W41;7,514;1992;40
1992 W42;7,204;1992;41
1992 W43;7,276;1992;42
1992 W44;7,509;1992;43
1992 W45;6,923;1992;44
1992 W46;7,056;1992;45
1992 W47;7,24;1992;46
1992 W48;7,138;1992;47
1992 W49;7,432;1992;48
1992 W50;7,354;1992;49
1992 W51;7,4;1992;50
1992 W52;7,596;1992;51
1992 W53;7,358;1992;52
1993 W01;6,852;1993;1
1993 W02;6,726;1993;2
1993 W03;7,131;1993;3
1993 W04;6,603;1993;4
1993 W05;7,322;1993;5
1993 W06;6,779;1993;6
1993 W07;7,325;1993;7
1993 W08;6,961;1993;8
1993 W09;7,188;1993;9
1993 W10;7,1;1993;10
1993 W11;7,239;1993;11
1993 W12;7,194;1993;12
1993 W13;6,964;1993;13
1993 W14;6,797;1993;14
1993 W15;7,561;1993;15
1993 W16;7,392;1993;16
1993 W17;7,47;1993;17
1993 W18;7,657;1993;18
1993 W19;7,649;1993;19
1993 W20;7,295;1993;20
1993 W21;7,364;1993;21
1993 W22;7,018;1993;22
1993 W23;7,74;1993;23
1993 W24;7,392;1993;24
1993 W25;7,804;1993;25
1993 W26;7,868;1993;26
1993 W27;7,578;1993;27
1993 W28;8,113;1993;28
1993 W29;7,916;1993;29
1993 W30;7,336;1993;30
1993 W31;8,033;1993;31
1993 W32;7,581;1993;32
1993 W33;8,187;1993;33
1993 W34;7,629;1993;34
1993 W35;7,386;1993;35
1993 W36;7,889;1993;36
1993 W37;7,478;1993;37
1993 W38;7,485;1993;38
1993 W39;7,387;1993;39
1993 W40;7,276;1993;40
1993 W41;7,613;1993;41
1993 W42;7,704;1993;42
1993 W43;7,788;1993;43
1993 W44;7,64;1993;44
1993 W45;7,552;1993;45
1993 W46;7,992;1993;46
1993 W47;6,845;1993;47
1993 W48;7,43;1993;48
1993 W49;8,074;1993;49
1993 W50;7,684;1993;50
1993 W51;7,411;1993;51
1993 W52;7,567;1993;52
1994 W01;7,124;1994;1
1994 W02;7,124;1994;2
1994 W03;7,157;1994;3
1994 W04;6,321;1994;4
1994 W05;6,953;1994;5
1994 W06;7,487;1994;6
1994 W07;6,993;1994;7
1994 W08;7,372;1994;8
1994 W09;7,286;1994;9
1994 W10;7,214;1994;10
1994 W11;7,521;1994;11
1994 W12;7,481;1994;12
1994 W13;7,398;1994;13
1994 W14;7,187;1994;14
1994 W15;7,72;1994;15
1994 W16;7,042;1994;16
1994 W17;7,892;1994;17
1994 W18;6,824;1994;18
1994 W19;7,552;1994;19
1994 W20;7,938;1994;20
1994 W21;8,028;1994;21
1994 W22;7,461;1994;22
1994 W23;7,77;1994;23
1994 W24;7,65;1994;24
1994 W25;7,909;1994;25
1994 W26;7,93;1994;26
1994 W27;7,562;1994;27
1994 W28;8,006;1994;28
1994 W29;7,523;1994;29
1994 W30;7,581;1994;30
1994 W31;7,638;1994;31
1994 W32;8,187;1994;32
1994 W33;7,836;1994;33
1994 W34;7,75;1994;34
1994 W35;8,061;1994;35
1994 W36;6,955;1994;36
1994 W37;7,601;1994;37
1994 W38;7,763;1994;38
1994 W39;7,733;1994;39
